iso2,year,new_sp,new_sp_m04,new_sp_m514,new_sp_m014,new_sp_m1524,new_sp_m2534,new_sp_m3544,new_sp_m4554,new_sp_m5564,new_sp_m65,new_sp_mu,new_sp_f04,new_sp_f514,new_sp_f014,new_sp_f1524,new_sp_f2534,new_sp_f3544,new_sp_f4554,new_sp_f5564,new_sp_f65,new_sp_fu
"AD",1989,,,,,,,,,,,,,,,,,,,,,
"AD",1990,,,,,,,,,,,,,,,,,,,,,
"AD",1991,,,,,,,,,,,,,,,,,,,,,
"AD",1992,,,,,,,,,,,,,,,,,,,,,
"AD",1993,15,,,,,,,,,,,,,,,,,,,,
"AD",1994,24,,,,,,,,,,,,,,,,,,,,
"AD",1996,8,,,0,0,0,4,1,0,0,,,,0,1,1,0,0,1,0,
"AD",1997,17,,,0,0,1,2,2,1,6,,,,0,1,2,3,0,0,1,
"AD",1998,1,,,0,0,0,1,0,0,0,,,,,,,,,,,
"AD",1999,4,,,0,0,0,1,1,0,0,,,,0,0,0,1,0,0,0,
"AD",2000,1,,,0,0,1,0,0,0,0,,,,,,,,,,,
"AD",2001,3,,,0,,,2,1,,,,,,,,,,,,,
"AD",2002,2,,,0,0,0,1,0,0,0,,,,0,1,0,0,0,0,0,
"AD",2003,7,,,0,0,0,1,2,0,0,,,,0,1,1,1,0,0,0,
"AD",2004,3,,,0,0,0,1,1,0,0,,,,0,0,1,0,0,0,0,
"AD",2005,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"AD",2006,8,0,0,0,1,1,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0
"AD",2007,2,,,,,,,,,,,,,,,1,,1,,,
"AD",2008,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"AE",1980,,,,,,,,,,,,,,,,,,,,,
"AE",1981,,,,,,,,,,,,,,,,,,,,,
"AE",1982,,,,,,,,,,,,,,,,,,,,,
"AE",1983,,,,,,,,,,,,,,,,,,,,,
"AE",1984,,,,,,,,,,,,,,,,,,,,,
"AE",1985,,,,,,,,,,,,,,,,,,,,,
"AE",1986,,,,,,,,,,,,,,,,,,,,,
"AE",1987,,,,,,,,,,,,,,,,,,,,,
"AE",1988,,,,,,,,,,,,,,,,,,,,,
"AE",1989,,,,,,,,,,,,,,,,,,,,,
"AE",1990,,,,,,,,,,,,,,,,,,,,,
"AE",1991,,,,,,,,,,,,,,,,,,,,,
"AE",1992,,,,,,,,,,,,,,,,,,,,,
"AE",1994,,,,,,,,,,,,,,,,,,,,,
"AE",1996,,,,,,,,,,,,,,,,,,,,,
"AE",1998,,,,,,,,,,,,,,,,,,,,,
"AE",1999,31,,,4,9,3,2,4,6,5,,,,9,11,5,3,0,3,2,
"AE",2000,73,,,2,4,4,6,5,12,10,,,,3,16,1,3,0,0,4,
"AE",2001,69,,,,,,,,,,,,,,,,,,,,
"AE",2002,57,,,1,2,0,6,6,10,0,,,,3,3,8,3,4,10,1,
"AE",2003,77,,,2,10,8,12,3,2,10,,,,4,9,5,3,3,2,4,
"AE",2004,57,,,1,7,6,7,3,1,7,,,,3,6,2,7,2,2,3,
"AE",2005,62,,,,,,,,,,,,,,,,,,,,
"AE",2006,52,0,0,0,5,3,7,3,1,4,,0,2,2,6,4,5,3,4,5,
